GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
7.5,7.88,7.01369863013699,8.24657534246575,0.3005,0.6712,0.29,0.324,0.284,1582,5336,2253,29193,2332,530,15464,33,3150,5101,5425,8531,264,27425319,49,25042,-77.4238537209302,-5.86967844093695,47,184,1,0.506171538067419
7.81,7.21,6.87671232876712,8.10958904109589,0.3,0.6774,0.32,0.336,0.292,2664,4560,1914,28876,2342,487,15436,26,3440,4802,5370,8868,264,29549375,49,27525,-77.4238537209302,-6.4286954353119,48,184,1,0.255616556410658
8.08,7.31,7.12328767123288,8.32876712328767,0.3253,0.712,0.34,0.368,0.314,2796,4335,2269,28739,2870,441,15830,26,3399,4700,5314,9557,264,28344927,50,28025,-77.4238537209302,-6.98771242968684,49,184,1,0.971603134958536
7.66,7.38,6.52054794520548,8.10958904109589,0.2746,0.6419,0.315,0.34,0.269,2786,4230,2269,28535,2509,441,16302,24,3166,4889,5350,9014,261,24954917,45,27314,-77.4238537209302,-7.54672942406179,50,184,1,0.581123922450753
7.46,7.17,6.24657534246575,8.32876712328767,0.2481,0.5959,0.29,0.292,0.251,3494,3603,1990,28364,1847,421,16276,29,2880,4500,5380,8840,261,21768289,44,27320,-77.4238537209302,-8.10574641843674,51,184,1,0.968386414336657
6.89,7.69,6.76712328767123,6.73972602739726,0.4268,0.7831,0.44,0.396,0.395,526,7565,1833,29845,2369,503,12510,44,3133,3966,5316,11733,389,32255021,57,19933,-76.8648367265553,8.10574641843674,22,185,1,0.0414383729208978
7.95,7.99,6.02739726027397,6.3013698630137,0.3829,0.7163,0.385,0.344,0.308,211,7390,2687,29887,3613,555,13113,43,2931,3531,4925,11975,389,50814870,50,9806,-76.8648367265553,7.54672942406179,23,185,1,0.188628229362153
7.85,8.38,6.02739726027397,5.97260273972603,0.4072,0.7587,0.365,0.356,0.363,199,6769,3824,29860,4788,570,11941,36,3274,4022,5074,11278,389,52248273,48,21442,-76.8648367265553,6.98771242968684,24,185,1,0.519760059068036
7.64,8.33,5.80821917808219,5.83561643835616,0.3984,0.7539,0.345,0.348,0.341,330,6314,4058,29736,7754,582,10289,24,3236,4112,4965,11229,389,51391847,46,24384,-76.8648367265553,6.4286954353119,25,185,1,0.640853919662848
7.64,8.28,5.80821917808219,6.02739726027397,0.4016,0.77,0.345,0.344,0.345,312,6100,3691,29734,7834,584,10086,22,3274,4119,4975,10864,389,49283555,47,23523,-76.8648367265553,5.86967844093695,26,185,1,0.340731322525365
